Date,Customer ID,Customer Name,City,Product Category,Quantity,Unit Cost,Unit Price,Total Revenue,New Customer,Delivery Days,Payment Method,Order Frequency,First Purchase Date,Last Purchase Date,Customer Relationship Duration
2023-11-24,CID0001,Customer 1,San Antonio,Packaged Foods,8,68.28,85.35,682.8,Yes,3,Credit Card,Quarterly,2023-01-28,2023-04-20,82
2023-01-13,CID0003,Customer 3,Phoenix,Dairy,19,30.4,38.0,722.0,Yes,1,Online Payment,Monthly,2023-05-01,2023-12-01,214
2024-01-15,CID0004,Customer 4,San Antonio,Fruits,3,37.15,46.44,139.32,No,3,Online Payment,Weekly,2023-12-24,2024-09-01,252
2023-05-21,CID0005,Customer 5,Chicago,Bakery,8,38.68,48.35,386.8,Yes,1,Online Payment,Weekly,2023-02-02,2023-02-20,18
2023-06-05,CID0006,Customer 6,Phoenix,Bakery,2,35.04,43.8,87.6,Yes,2,Debit Card,Monthly,2023-03-23,2023-04-19,27
2023-04-25,CID0007,Customer 7,Phoenix,Meat,8,75.02,93.77,750.16,Yes,2,Debit Card,Monthly,2023-04-22,2023-04-22,0
2023-03-13,CID0008,Customer 8,San Antonio,Vegetables,13,56.6,70.75,919.75,Yes,2,Credit Card,Monthly,2023-04-03,2023-07-03,91
2024-01-13,CID0009,Customer 9,Los Angeles,Fruits,6,45.58,56.97,370.3,Yes,1,Cash,Monthly,2023-02-22,2023-10-10,230
2023-02-22,CID0010,Customer 10,Chicago,Vegetables,2,4.8,6.006,9.01,Yes,1,Cash,Monthly,2023-01-01,2023-01-23,22
2023-12-13,CID0011,Customer 11,San Antonio,Fruits,6,72.35,90.44,542.64,Yes,2,Credit Card,Quarterly,2023-10-21,2023-10-22,1
2024-01-15,CID0012,Customer 12,Chicago,Meat,19,72.78,90.98,1728.62,Yes,1,Cash,Weekly,2023-05-26,2023-09-09,106
2023-02-14,CID0014,Customer 14,Phoenix,Bakery,8,0.96,1.2,9.6,Yes,2,Debit Card,Quarterly,2023-01-31,2023-06-02,122
2023-10-30,CID0015,Customer 15,Houston,Vegetables,0,4.46,5.58,2.79,No,2,Online Payment,One Time,2023-08-14,2023-10-17,64
2023-01-17,CID0017,Customer 17,Philadelphia,Bakery,9,10.86,13.57,122.13,No,3,Debit Card,Monthly,2023-06-01,2023-09-01,92
2023-01-16,CID0018,Customer 18,Phoenix,Vegetables,13,32.14,40.18,522.34,Yes,4,Online Payment,Monthly,2023-02-01,2023-08-01,181
2023-02-17,CID0019,Customer 19,Los Angeles,Bakery,11,73.84,92.3,1015.3,No,4,Online Payment,One Time,2023-01-17,2023-01-22,5
2023-04-22,CID0020,Customer 20,Houston,Beverages,13,37.98,47.47,617.11,No,4,Cash,One Time,2023-04-21,2023-04-22,1
2023-04-30,CID0021,Customer 21,Philadelphia,Dairy,10,1.46,1.83,18.3,Yes,3,Debit Card,One Time,2023-03-03,2023-03-17,14
2023-09-16,CID0022,Customer 22,Philadelphia,Dairy,4,22.9,28.63,114.52,Yes,4,Cash,One Time,2023-02-28,2023-07-03,125
2023-05-11,CID0023,Customer 23,Los Angeles,Dairy,6,3.95,4.94,29.64,Yes,3,Cash,One Time,2023-03-02,2023-07-16,136
2023-01-14,CID0024,Customer 24,Houston,Dairy,7,3.29,4.11,28.77,No,2,Online Payment,Quarterly,2023-07-01,2023-08-01,31
2023-10-15,CID0025,Customer 25,Phoenix,Packaged Foods,5,22.34,27.93,139.65,Yes,2,Online Payment,One Time,2023-09-09,2023-09-30,21
2023-11-29,CID0028,Customer 28,Los Angeles,Packaged Foods,19,78.0,97.5,1852.5,No,3,Online Payment,One Time,2023-11-19,2023-11-19,0
2023-12-26,CID0029,Customer 29,Philadelphia,Packaged Foods,10,29.95,37.44,374.4,No,4,Debit Card,One Time,2023-12-18,2023-12-22,4
2023-07-10,CID0030,Customer 30,Phoenix,Dairy,10,34.54,43.17,431.7,No,2,Online Payment,Quarterly,2023-01-28,2023-09-19,234
2023-03-08,CID0031,Customer 31,Houston,Beverages,11,67.65,84.56,930.16,Yes,3,Cash,Weekly,2023-08-02,2023-08-06,4
2023-04-23,CID0032,Customer 32,New York,Meat,7,21.74,27.18,190.26,Yes,1,Debit Card,Quarterly,2023-01-20,2023-04-19,89
2023-08-18,CID0033,Customer 33,New York,Meat,18,12.85,16.06,289.08,Yes,1,Online Payment,Quarterly,2023-07-27,2023-07-31,4
2023-10-29,CID0034,Customer 34,Chicago,Fruits,4,68.3,85.38,341.52,Yes,4,Credit Card,One Time,2023-10-16,2023-10-28,12
2023-05-23,CID0035,Customer 35,Chicago,Dairy,2,4.1,5.13,10.26,Yes,3,Debit Card,Monthly,2023-03-19,2023-05-18,60
2023-04-01,CID0036,Customer 36,San Antonio,Dairy,14,49.73,62.16,870.24,Yes,2,Debit Card,Monthly,2023-01-01,2023-04-01,90
2024-01-24,CID0037,Customer 37,Los Angeles,Dairy,13,45.14,56.42,733.46,Yes,4,Credit Card,Quarterly,2023-08-05,2023-10-05,61
2023-03-23,CID0038,Customer 38,Houston,Bakery,12,27.94,34.92,419.04,Yes,2,Online Payment,One Time,2023-01-16,2023-01-26,10
2023-12-24,CID0039,Customer 39,Houston,Vegetables,4,22.94,28.674,100.36,No,4,Online Payment,Weekly,2023-10-13,2023-10-15,2
2023-05-08,CID0040,Customer 40,San Antonio,Bakery,2,61.84,77.3,154.6,Yes,2,Debit Card,Monthly,2023-07-15,2023-07-23,8
2023-06-24,CID0041,Customer 41,Philadelphia,Vegetables,13,7.28,9.1,118.3,No,2,Debit Card,Weekly,2023-04-17,2023-05-14,27
2023-05-23,CID0042,Customer 42,Philadelphia,Dairy,14,19.25,24.06,336.84,Yes,2,Online Payment,Monthly,2023-02-27,2023-03-18,19
2023-04-21,CID0044,Customer 44,Philadelphia,Bakery,9,44.05,55.06,495.54,Yes,1,Cash,Quarterly,2023-02-18,2023-04-19,60
2024-01-26,CID0045,Customer 45,Chicago,Bakery,17,10.58,13.23,224.91,Yes,3,Debit Card,Weekly,2023-08-19,2024-01-21,155
2023-06-22,CID0046,Customer 46,Houston,Vegetables,4,63.55,79.443,317.77,Yes,4,Debit Card,Weekly,2023-04-24,2023-05-27,33
2023-02-22,CID0047,Customer 47,San Antonio,Meat,2,31.72,39.65,79.3,Yes,4,Credit Card,Quarterly,2023-01-20,2023-02-16,27
2023-02-17,CID0048,Customer 48,Houston,Vegetables,6,59.67,74.583,484.79,Yes,1,Cash,Weekly,2023-07-02,2023-08-02,31
2023-07-14,CID0049,Customer 49,New York,Bakery,3,63.1,78.88,236.64,Yes,3,Online Payment,Monthly,2023-04-20,2023-05-26,36
2023-02-19,CID0050,Customer 50,Chicago,Beverages,16,50.1,62.63,1002.08,Yes,1,Cash,Quarterly,2023-01-20,2023-01-27,7
2023-03-07,CID0051,Customer 51,Phoenix,Bakery,6,39.76,49.7,298.2,No,1,Online Payment,Monthly,2023-05-26,2023-06-14,19
2023-06-26,CID0052,Customer 52,Chicago,Beverages,19,78.38,97.97,1861.43,Yes,3,Online Payment,Monthly,2023-08-06,2023-11-06,92
2023-06-11,CID0053,Customer 53,San Antonio,Fruits,7,11.94,14.92,104.44,Yes,3,Cash,One Time,2023-01-31,2023-02-24,24
2023-05-16,CID0054,Customer 54,Phoenix,Bakery,10,58.12,72.65,726.5,Yes,1,Debit Card,Monthly,2023-01-26,2023-02-25,30
2024-09-01,CID0056,Customer 56,San Antonio,Meat,2,27.33,34.16,68.32,Yes,4,Cash,Weekly,2023-11-17,2023-12-27,40
2023-02-10,CID0058,Customer 58,Houston,Beverages,5,75.78,94.73,473.65,No,3,Cash,One Time,2023-05-16,2023-10-09,146
2023-07-13,CID0060,Customer 60,Houston,Fruits,4,14.97,18.71,74.84,No,1,Online Payment,Quarterly,2023-10-02,2023-10-03,1
2023-10-02,CID0061,Customer 61,Philadelphia,Beverages,18,2.15,2.69,48.42,No,1,Cash,Quarterly,2023-01-16,2023-01-31,15
2023-10-10,CID0062,Customer 62,Los Angeles,Vegetables,4,57.71,72.14,288.56,Yes,2,Cash,One Time,2023-03-30,2023-08-29,152
2023-05-31,CID0063,Customer 63,Los Angeles,Bakery,17,33.67,42.09,715.53,Yes,4,Credit Card,Weekly,2023-05-22,2023-05-30,8
2023-11-13,CID0065,Customer 65,Los Angeles,Fruits,8,49.34,61.677,524.25,Yes,3,Cash,Quarterly,2023-03-22,2023-08-30,161
2023-05-07,CID0066,Customer 66,Phoenix,Vegetables,10,43.79,54.74,547.4,Yes,4,Online Payment,One Time,2023-01-01,2023-12-05,338
2023-10-23,CID0067,Customer 67,Los Angeles,Fruits,0,70.6,88.254,44.13,No,4,Cash,Quarterly,2023-07-29,2023-10-10,73
2023-09-04,CID0068,Customer 68,Houston,Packaged Foods,18,18.5,23.13,416.34,Yes,3,Debit Card,Monthly,2023-02-27,2023-03-14,15
2023-12-27,CID0069,Customer 69,Houston,Fruits,18,32.56,40.7,732.6,Yes,3,Credit Card,Monthly,2023-12-19,2023-12-21,2
2023-05-02,CID0070,Customer 70,San Antonio,Beverages,14,43.58,54.48,762.72,Yes,3,Cash,One Time,2023-01-31,2023-02-02,2
2023-05-12,CID0072,Customer 72,San Antonio,Beverages,12,44.09,55.11,661.32,Yes,3,Credit Card,Monthly,2023-01-17,2023-01-17,0
2023-04-27,CID0073,Customer 73,Houston,Dairy,4,49.18,61.48,245.92,Yes,3,Credit Card,Weekly,2023-01-30,2023-04-18,78
2024-01-31,CID0074,Customer 74,Phoenix,Packaged Foods,3,18.4,23.0,69.0,Yes,1,Cash,One Time,2023-05-28,2023-08-26,90
2023-05-29,CID0075,Customer 75,San Antonio,Bakery,12,67.82,84.77,1017.24,Yes,3,Cash,Monthly,2023-03-14,2023-04-13,30
2023-10-02,CID0076,Customer 76,Chicago,Fruits,7,34.52,43.15,302.05,Yes,2,Credit Card,Monthly,2023-01-30,2023-08-02,184
2023-02-21,CID0078,Customer 78,New York,Meat,1,53.27,66.59,66.59,Yes,1,Credit Card,Weekly,2023-02-13,2023-02-15,2
2023-07-14,CID0079,Customer 79,Houston,Fruits,6,17.6,22.0,132.0,Yes,3,Debit Card,Weekly,2023-01-03,2023-03-22,78
2023-08-21,CID0081,Customer 81,Houston,Dairy,15,69.02,86.27,1294.05,Yes,2,Online Payment,Quarterly,2023-07-21,2023-08-13,23
2023-11-22,CID0082,Customer 82,Los Angeles,Bakery,19,37.03,46.29,879.51,Yes,3,Credit Card,Weekly,2023-11-17,2023-11-17,0
2023-09-07,CID0085,Customer 85,Philadelphia,Packaged Foods,14,63.04,78.8,1103.2,Yes,3,Debit Card,Monthly,2023-04-19,2023-06-22,64
2023-01-07,CID0086,Customer 86,Los Angeles,Packaged Foods,2,9.31,11.64,23.28,Yes,4,Online Payment,Quarterly,2023-01-30,2023-08-06,188
2023-12-26,CID0090,Customer 90,San Antonio,Meat,13,39.98,49.98,649.74,Yes,1,Cash,One Time,2023-05-17,2023-12-26,223
2023-12-16,CID0091,Customer 91,Los Angeles,Packaged Foods,9,27.45,34.31,308.79,Yes,2,Cash,One Time,2023-03-14,2023-09-11,181
2023-08-11,CID0094,Customer 94,Los Angeles,Bakery,11,60.77,75.96,835.56,Yes,1,Debit Card,Weekly,2023-03-26,2023-06-29,95
2023-11-22,CID0095,Customer 95,Los Angeles,Vegetables,2,60.42,75.53,151.06,Yes,1,Debit Card,Weekly,2023-07-06,2023-10-08,94
2023-03-29,CID0096,Customer 96,Philadelphia,Beverages,15,1.83,2.29,34.35,Yes,4,Online Payment,Monthly,2023-03-18,2023-03-29,11
2023-01-10,CID0097,Customer 97,Houston,Dairy,14,10.45,13.06,182.84,Yes,4,Debit Card,One Time,2023-05-28,2023-05-30,2
2024-09-01,CID0098,Customer 98,Philadelphia,Dairy,11,52.9,66.13,727.43,Yes,4,Online Payment,Monthly,2023-08-13,2023-12-11,120
2023-06-05,CID0099,Customer 99,San Antonio,Packaged Foods,3,13.26,16.58,49.74,Yes,1,Cash,Weekly,2023-01-16,2023-04-26,100
2023-03-25,CID0100,Customer 100,San Antonio,Dairy,17,20.74,25.92,440.64,Yes,1,Debit Card,Weekly,2023-01-03,2023-03-03,59
2023-08-25,CID0101,Customer 101,Philadelphia,Packaged Foods,12,75.75,94.69,1136.28,Yes,3,Debit Card,Weekly,2023-06-26,2023-07-18,22
2023-07-14,CID0102,Customer 102,San Antonio,Packaged Foods,15,44.99,56.24,843.6,Yes,1,Credit Card,One Time,2023-03-19,2023-04-18,30
2023-05-19,CID0103,Customer 103,Houston,Beverages,16,60.16,75.2,1203.2,Yes,1,Debit Card,One Time,2023-04-14,2023-04-20,6
2023-11-24,CID0104,Customer 104,New York,Dairy,5,44.82,56.02,280.1,Yes,3,Debit Card,Weekly,2023-05-20,2023-10-15,148
2023-12-19,CID0105,Customer 105,Philadelphia,Packaged Foods,6,44.38,55.48,332.88,No,4,Credit Card,Monthly,2023-09-14,2023-12-17,94
2023-10-13,CID0106,Customer 106,Phoenix,Meat,19,7.9,9.87,187.53,Yes,2,Credit Card,Monthly,2023-04-10,2023-09-10,153
2023-12-17,CID0108,Customer 108,Los Angeles,Vegetables,3,22.88,28.6,85.8,Yes,3,Debit Card,Weekly,2023-08-13,2023-08-18,5
2023-06-16,CID0109,Customer 109,San Antonio,Vegetables,1,31.5,39.38,39.38,Yes,2,Cash,Monthly,2023-01-21,2023-04-21,90
2024-01-29,CID0110,Customer 110,Phoenix,Beverages,6,63.95,79.94,479.64,Yes,3,Cash,Weekly,2023-03-11,2024-11-01,601
2023-01-29,CID0111,Customer 111,Los Angeles,Dairy,15,30.01,37.51,562.65,Yes,2,Credit Card,Monthly,2023-02-01,2023-12-01,303
2023-04-28,CID0112,Customer 112,New York,Dairy,2,36.35,45.44,90.88,Yes,1,Online Payment,Quarterly,2023-04-24,2023-04-25,1
2023-01-17,CID0113,Customer 113,Houston,Packaged Foods,3,32.03,40.04,120.12,No,4,Cash,Quarterly,2023-01-14,2023-01-17,3
2023-11-06,CID0114,Customer 114,Houston,Fruits,17,7.83,9.79,166.43,Yes,1,Online Payment,Weekly,2023-03-24,2023-05-24,61
2023-07-25,CID0115,Customer 115,Houston,Packaged Foods,12,35.51,44.39,532.68,No,4,Debit Card,Monthly,2023-04-06,2023-07-14,99
2023-03-02,CID0117,Customer 117,New York,Meat,15,15.26,19.08,286.2,Yes,3,Debit Card,Quarterly,2023-02-01,2023-10-01,242
2023-10-18,CID0119,Customer 119,San Antonio,Packaged Foods,16,28.79,35.99,575.84,Yes,1,Credit Card,Weekly,2023-04-28,2023-08-23,117
2024-03-01,CID0120,Customer 120,Phoenix,Fruits,8,60.7,75.87,606.96,Yes,1,Debit Card,Monthly,2023-12-12,2023-12-13,1
2023-04-19,CID0122,Customer 122,New York,Packaged Foods,17,25.26,31.58,536.86,Yes,4,Online Payment,Quarterly,2023-03-17,2023-03-29,12
2023-09-13,CID0124,Customer 124,New York,Vegetables,15,15.99,19.99,299.85,Yes,3,Credit Card,Weekly,2023-05-18,2023-08-27,101
2023-07-22,CID0125,Customer 125,New York,Beverages,14,71.8,89.75,1256.5,No,4,Cash,One Time,2023-05-28,2023-09-06,101
2023-11-26,CID0126,Customer 126,Houston,Meat,18,41.81,52.26,940.68,Yes,3,Debit Card,One Time,2023-01-21,2023-11-02,285
2023-03-15,CID0128,Customer 128,Chicago,Fruits,3,44.8,56.0,168.0,No,3,Credit Card,Monthly,2023-01-23,2023-11-02,283
2023-05-16,CID0129,Customer 129,Chicago,Bakery,12,13.62,17.02,204.24,No,3,Debit Card,One Time,2023-01-05,2023-05-13,128
2023-03-13,CID0130,Customer 130,New York,Meat,3,49.23,61.54,184.62,Yes,4,Debit Card,Monthly,2023-08-03,2023-12-03,122
2023-07-05,CID0131,Customer 131,Chicago,Fruits,14,29.3,36.63,512.82,Yes,3,Debit Card,Quarterly,2023-03-25,2023-04-24,30
2024-01-17,CID0132,Customer 132,Chicago,Meat,15,71.82,89.77,1346.55,No,4,Online Payment,One Time,2023-08-15,2023-10-18,64
2023-03-10,CID0134,Customer 134,Chicago,Dairy,7,40.76,50.95,356.65,Yes,1,Cash,One Time,2023-03-04,2023-09-15,195
2023-05-15,CID0135,Customer 135,Phoenix,Fruits,17,48.01,60.01,1020.17,Yes,1,Cash,Quarterly,2023-04-22,2023-04-28,6
2023-08-08,CID0138,Customer 138,Los Angeles,Packaged Foods,9,58.72,73.4,660.6,Yes,4,Cash,Monthly,2023-01-24,2023-05-02,98
2023-10-26,CID0139,Customer 139,New York,Meat,6,65.7,82.13,492.78,No,1,Online Payment,Weekly,2023-08-29,2023-10-23,55
2023-07-24,CID0140,Customer 140,Houston,Packaged Foods,16,25.33,31.66,506.56,Yes,4,Credit Card,Weekly,2023-03-31,2023-06-22,83
2023-05-07,CID0141,Customer 141,San Antonio,Beverages,2,63.97,79.96,159.92,No,4,Debit Card,One Time,2023-04-15,2023-05-27,42
2023-09-18,CID0144,Customer 144,Los Angeles,Fruits,6,8.79,10.989,71.43,Yes,4,Cash,Quarterly,2023-02-23,2023-09-15,204
2023-10-09,CID0145,Customer 145,New York,Meat,17,59.28,74.1,1259.7,Yes,4,Online Payment,Monthly,2023-08-08,2023-08-31,23
2024-01-22,CID0147,Customer 147,San Antonio,Vegetables,18,79.08,98.85,1779.3,Yes,4,Online Payment,Monthly,2023-06-18,2023-09-28,102
2023-01-25,CID0148,Customer 148,Philadelphia,Fruits,18,39.03,48.79,878.22,Yes,3,Debit Card,One Time,2023-01-14,2023-01-25,11
2023-02-26,CID0149,Customer 149,Phoenix,Bakery,14,10.14,12.68,177.52,Yes,2,Credit Card,Monthly,2023-02-14,2023-02-21,7
2023-11-18,CID0151,Customer 151,Houston,Meat,6,26.11,32.64,195.84,Yes,3,Online Payment,One Time,2023-05-28,2023-08-22,86
2023-03-23,CID0152,Customer 152,Philadelphia,Vegetables,11,79.77,99.71,1096.81,Yes,3,Online Payment,Monthly,2023-02-21,2023-02-26,5
2023-12-15,CID0153,Customer 153,Chicago,Vegetables,20,86.23,107.789,2101.89,Yes,2,Online Payment,Quarterly,2023-09-10,2023-11-12,63
2023-02-11,CID0155,Customer 155,New York,Dairy,6,10.74,13.42,80.52,Yes,1,Debit Card,One Time,2023-08-21,2023-10-23,63
2023-08-28,CID0160,Customer 160,Chicago,Fruits,9,17.1,21.37,192.33,Yes,1,Debit Card,Monthly,2023-01-30,2023-04-08,68
2023-09-28,CID0161,Customer 161,New York,Bakery,17,30.57,38.21,649.57,Yes,3,Debit Card,Monthly,2023-07-26,2023-09-18,54
2023-09-05,CID0162,Customer 162,Phoenix,Beverages,12,77.89,97.36,1168.32,No,4,Credit Card,One Time,2023-01-01,2023-01-21,20
2023-11-10,CID0163,Customer 163,Los Angeles,Bakery,14,27.22,34.02,476.28,Yes,4,Debit Card,Quarterly,2023-05-10,2023-08-10,92
2023-06-01,CID0164,Customer 164,San Antonio,Beverages,15,24.0,30.0,450.0,Yes,1,Credit Card,One Time,2023-04-01,2023-06-01,61
2023-12-15,CID0165,Customer 165,San Antonio,Beverages,16,73.49,91.86,1469.76,Yes,1,Online Payment,Weekly,2023-07-31,2023-09-15,46
2024-05-01,CID0166,Customer 166,Philadelphia,Packaged Foods,1,9.22,11.52,11.52,Yes,4,Debit Card,One Time,2023-01-28,2023-03-11,42
2023-02-28,CID0167,Customer 167,San Antonio,Meat,10,60.86,76.08,760.8,Yes,4,Debit Card,Weekly,2023-01-13,2023-01-31,18
2023-02-10,CID0169,Customer 169,New York,Dairy,18,72.14,90.18,1623.24,No,3,Online Payment,Monthly,2023-05-07,2023-07-18,72
2024-01-20,CID0170,Customer 170,San Antonio,Beverages,1,52.27,65.34,65.34,No,2,Online Payment,Quarterly,2023-11-15,2023-11-25,10
2024-01-29,CID0172,Customer 172,Los Angeles,Beverages,1,20.65,25.81,25.81,Yes,3,Cash,Monthly,2023-11-17,2023-12-24,37
2023-11-25,CID0173,Customer 173,Los Angeles,Packaged Foods,1,65.62,82.02,82.02,Yes,2,Credit Card,Quarterly,2023-08-15,2023-09-23,39
2023-06-24,CID0174,Customer 174,Houston,Packaged Foods,9,70.43,88.04,792.36,Yes,2,Credit Card,Quarterly,2023-01-14,2023-08-05,203
2023-02-27,CID0175,Customer 175,Phoenix,Fruits,13,42.22,52.78,686.14,No,4,Debit Card,One Time,2023-01-14,2023-02-21,38
2023-11-08,CID0177,Customer 177,San Antonio,Dairy,13,9.39,11.74,152.62,No,2,Debit Card,Monthly,2023-05-21,2023-11-06,169
2023-03-22,CID0178,Customer 178,San Antonio,Dairy,7,7.34,9.17,64.19,Yes,3,Debit Card,One Time,2023-01-17,2023-03-14,56
2023-08-21,CID0179,Customer 179,New York,Packaged Foods,2,57.64,72.05,144.1,Yes,1,Credit Card,Weekly,2023-03-15,2023-12-06,266
2023-02-01,CID0180,Customer 180,Houston,Bakery,6,33.84,42.3,253.8,Yes,1,Online Payment,Weekly,2023-02-01,2023-02-01,0
2024-05-01,CID0181,Customer 181,Phoenix,Meat,7,72.46,90.58,634.06,Yes,4,Debit Card,Monthly,2023-12-24,2023-12-24,0
2024-04-01,CID0182,Customer 182,Houston,Packaged Foods,14,59.28,74.1,1037.4,Yes,4,Online Payment,Monthly,2023-06-09,2023-08-12,64
2023-05-15,CID0183,Customer 183,Philadelphia,Beverages,18,15.62,19.53,351.54,Yes,4,Debit Card,One Time,2023-01-02,2023-03-18,75
2023-09-14,CID0184,Customer 184,Phoenix,Vegetables,15,49.26,61.57,923.55,Yes,4,Cash,One Time,2023-01-15,2023-06-21,157
2024-01-26,CID0185,Customer 185,San Antonio,Meat,2,35.06,43.83,87.66,Yes,3,Debit Card,Monthly,2023-11-19,2024-01-13,55
2023-02-04,CID0186,Customer 186,San Antonio,Meat,10,46.35,57.94,579.4,Yes,4,Debit Card,Monthly,2023-03-19,2023-03-23,4
